,species,corr_pc1,corr_pc2,effect_size,mean_abundance,p_value,pre,post,going_through
74,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_milleri,0.0006375003536903602,0.0265840764850023,1.94179822670712e-06,9.986733942602516e-07,0.6507557045495389,1.94179822670712e-06,5.19789054091037e-07,0.0
75,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,-0.08874769720941711,-0.09861089637858751,1.185849236631963e-05,1.224919381921465e-05,0.021616863257527392,5.967809353620946e-06,1.7562268835041412e-05,5.703776468721782e-06
76,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella|s__Kingella_oralis,,,,0.0,,0.0,,
77,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_cinerea,,,,0.0,,0.0,,
78,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_denticariosi,,,,0.0,,0.0,,
79,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180,-0.04270465336549552,0.031019337507375108,2.76206857558449e-06,2.5001772971648046e-06,0.4401292263864781,2.7072610418731892e-06,2.76206857558449e-06,0.0
80,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena,,,,0.0,,0.0,,
81,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudopneumoniae,,,,0.0,,0.0,,
82,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_rodentium,0.06614840575153183,-0.1152559511378167,5.527444225816438e-08,3.170004208683626e-07,0.6392195959807664,2.8396975532644695e-07,3.3924419758461133e-07,3.1797189891546144e-07
83,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis,0.023970169166814683,-0.09772147842204681,4.339207637166661e-06,3.435080185738364e-06,0.7943595048477141,2.2564501308251753e-06,4.725061177423626e-06,3.8585354025696445e-07
84,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii,-0.04236405703263776,0.07055376630098638,2.045711238335812e-06,1.1405105131817524e-06,0.12448995716267172,0.0,2.045711238335812e-06,3.2177174099033754e-07
85,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans,-0.0007496350762684057,0.06644830501701954,0.00010383605741970811,6.333966011177317e-05,0.7600955486044374,0.00011435759988170128,3.724075437236123e-05,1.0521542461993175e-05
