,0_n,0_s,0_p,1_n,1_s,1_p,2_n,2_s,2_p,3_n,3_s,3_p,4_n,4_s,4_p,5_n,5_s,5_p,6_n,6_s,6_p,7_n,7_s,7_p,8_n,8_s,8_p,9_n,9_s,9_p,10_n,10_s,10_p,11_n,11_s,11_p,12_n,12_s,12_p,13_n,13_s,13_p
310,IL18RAP,-1.624044,0.1766867451153736,CXCL5,-5.0524025,1.3088629041654969e-06,CHI3L2,-1.257736,0.34320971608232986,EGR1,-2.8081908,0.012704279762126116,CCL4,-4.548605,1.707994430442194e-05,NINJ2,-1.9324541,0.11268301126955838,CD28:L293|CD28|AHS0138|pAbO,-2.8415055,0.012132212943319745,BTG1,-1.6932967,0.19412000158843634,CD72,-0.8754385,0.6402667690664754,TNFRSF25,-0.9873406,0.6026396177404895,IER3,-3.7284322,0.0006000861561715269,STAT3,-3.6523514,0.0008347939592588502,KLRK1,-1.9492881,0.16468110759084317,CD3E,-1.0534482,0.738926941831062
311,PASK,-1.6291769,0.1762718734483685,RUNX3,-5.07947,1.143877779243564e-06,MYC,-1.2703879,0.33825270237770894,AQP9,-2.8393955,0.011598257432952373,FYN,-4.605283,1.31294894470528e-05,IL1RN,-1.949851,0.10878699352426494,F13A1,-2.8582692,0.011586080919158786,GZMK,-1.739528,0.177831432641329,TNFRSF25,-0.88682944,0.6325192489129242,POU2AF1,-0.993102,0.6001347618467251,NAMPT,-3.7466578,0.0005624318486418786,GIMAP5,-3.6911151,0.0007229796120831045,CD37,-1.9548781,0.16383939189233232,BCL6,-1.0782028,0.7300945305994517
312,IL12RB1,-1.6591794,0.16783258067125842,CD52,-5.2230544,5.358671669865617e-07,MZB1,-1.2947701,0.3254000527305974,ADGRE1,-2.8660605,0.010800688273909686,DOCK8,-5.038721,1.5055919809980868e-06,IL18,-2.0046837,0.09817498950924386,EGR1,-2.8840513,0.010750243556929532,CD79A,-1.8072364,0.1551396346651316,IL12RB1,-0.90852344,0.6155581354240084,TCL1A,-1.0223109,0.5791971310059713,KCNE3,-3.8515267,0.0003712601395150984,TLR2,-3.7451973,0.0005883426906780677,CCR2,-1.9590707,0.163541141572725,GNLY,-1.0782028,0.7300945305994517
313,CBLB,-1.9223709,0.095948770252323,GNLY,-5.309586,3.3705835494919374e-07,IFNG,-1.4217083,0.26150933513562574,STAT3,-2.9077785,0.009520160494110547,ITGA4,-5.078352,1.2328175867553276e-06,IGHM_secreted,-2.13698,0.07189535966842216,CCR7,-2.8873405,0.010710373783930714,IGHM_secreted,-1.8837816,0.13143010737931318,TCL1A,-0.9146029,0.6126802647650732,CHI3L2,-1.0296131,0.5753590435766762,VPS28,-3.8777974,0.0003359831288476333,CCR1,-3.7451973,0.0005883426906780677,CD3G,-1.9728128,0.15963624485521757,QPCT,-1.0961729,0.718614653717662
314,CHI3L2,-1.9305403,0.09456403120136343,CTSW,-5.9929338,6.620797394881167e-09,IGLC3,-1.479857,0.2361494114915454,KDELR1,-2.9129872,0.009423201674092883,CD4,-5.0869737,1.1875163697133693e-06,FOSB,-2.1595113,0.06831897582647983,STAT6,-2.8919559,0.01062609059278164,IGHM_membrane,-1.9771221,0.10649650625474309,BCL2,-0.95991063,0.5778860375478634,TRAT1,-1.0448205,0.5645384251851604,SELL,-3.9951963,0.00020931264806852885,CTSW,-3.8871632,0.0003364259680751188,TNFSF8,-1.9768888,0.15939929090322447,CD8A,-1.1013072,0.717346071970345
315,BCL2,-1.9519758,0.09036502849995481,QPCT,-5.9948783,6.59398049797693e-09,CBLB,-1.4968659,0.22948406100964036,TREM1,-2.9963274,0.007334683522735103,NAMPT,-5.1524696,8.458712063490572e-07,VPS28,-2.1689825,0.06744109260408987,RNASE2,-2.9627242,0.008521321316068538,VNN2,-1.998131,0.10189401299528944,TXK,-0.9947874,0.5552961196753077,CD22,-1.0824705,0.5489319037711845,CD7,-4.114446,0.00012667905239797014,CD16:3G8|FCGR3A|AHS0053|pAbO,-3.9059339,0.00031389976977173976,CCR1,-1.9821295,0.15873457838674507,RUNX3,-1.1361471,0.686876080023043
316,VPREB3,-2.092518,0.06540975443955369,CD244,-6.1346126,2.8316838487276546e-09,PASK,-1.5612985,0.20306284437612637,CD40,-3.0022528,0.007241038626938064,RPN2,-5.3163314,3.512122966172866e-07,VNN2,-2.1952024,0.06345206723627843,CD79B,-3.0420337,0.006657926187270518,TIGIT,-2.0025785,0.10137800981466003,FCER2,-1.0036826,0.5525189253371229,TXK,-1.1026354,0.5351248011870671,IFNGR1,-4.1291833,0.00011978543487504267,CD183|CXCR3|AHS0031|pAbO,-3.9352763,0.0002802083778154069,TLR2,-2.025918,0.14665093165882517,KDELR1,-1.165486,0.6631967844758324
317,TCL1A,-2.0967112,0.06502570945178536,KLRK1,-6.1687975,2.3012293610284378e-09,TCL1A,-1.5683367,0.20107784758475428,XBP1,-3.0443053,0.006386112834833032,CST7,-5.3357306,3.1824233745456333e-07,PSEN1,-2.211054,0.06127274204004304,BTG1,-3.0965688,0.00558573152690792,F13A1,-2.0105958,0.1000122022914781,KLRF1,-1.0054744,0.5525189253371229,KLRF1,-1.1051141,0.5351248011870671,CD86,-4.1313906,0.00011960550607288883,LAT,-3.9780676,0.00023622398620065858,TRBC2,-2.06598,0.13426098568909312,CD244,-1.1706202,0.6619771449375621
318,CD19:SJ25C1|CD19|AHS0030|pAbO,-2.121075,0.06177467381798205,VPS28,-6.266491,1.2555350973839578e-09,CCL4,-1.5842564,0.19642229940265374,IGBP1,-3.0567298,0.006168679851157598,LIPA,-5.4168043,2.045858089159404e-07,TNF,-2.2855768,0.05078126110594102,CXCL8,-3.161873,0.0045040286912853824,IER3,-2.0168576,0.0990768503741494,VPREB3,-1.0290242,0.5359959551387266,TRIB2,-1.1187806,0.5316800439465639,ITGA4,-4.160865,0.00010602805585151746,GITR|TNFRSF18|AHS0104|pAbO,-3.9789305,0.00023622398620065858,CD52,-2.1093025,0.12281671074680395,CD19:SJ25C1|CD19|AHS0030|pAbO,-1.1726373,0.6619771449375621
319,POU2AF1,-2.1237497,0.06164107095158385,CD196|CCR6|AHS0034|pAbO,-6.3534503,7.279623033261942e-10,CD183|CXCR3|AHS0031|pAbO,-1.684634,0.16120241308913918,IL1B,-3.089416,0.005566296543427225,CCR2,-5.501062,1.2835348443130012e-07,CLEC10A,-2.3298914,0.04541151354118353,ENTPD1,-3.1688757,0.004428097546700028,CXCL8,-2.0405586,0.0941243039926386,CD161:HP-3G10|KLRB1|AHS0205|pAbO,-1.0400312,0.5292033395951034,STAT4,-1.1256139,0.5284289978957438,CCR7|CCR7|AHS0273|pAbO,-4.1997366,9.010576496918475e-05,CD7,-4.069691,0.00016557604866303282,CD14:MPHIP9|CD14|AHS0037|pAbO,-2.1387665,0.11514318568792622,CD161:HP-3G10|KLRB1|AHS0205|pAbO,-1.175021,0.6619771449375621
320,TXK,-2.265774,0.043916559208293494,GIMAP2,-6.3570285,7.172921631909981e-10,VPREB3,-1.7009726,0.15710322329480575,CD62L:DREG-56|SELL|AHS0049|pAbO,-3.116129,0.005156056110978887,GITR|TNFRSF18|AHS0104|pAbO,-5.570281,8.719848231546854e-08,IGHM_membrane,-2.3809857,0.040026621660351,FOSB,-3.2550285,0.0033042457329528047,TRDC,-2.0874336,0.08446278317661184,POU2AF1,-1.0443828,0.5279205126244773,CXCR5,-1.1610531,0.5061266949660849,BAX,-4.2065,8.818097770808039e-05,CD86,-4.1045713,0.00014371023664245492,CD5,-2.1562355,0.11118102113181255,CD16:3G8|FCGR3A|AHS0053|pAbO,-1.2414002,0.6161889994148457
321,KLRF1,-2.2673645,0.043916559208293494,CD137|TNFRSF9|AHS0003|pAbO,-6.415092,4.950087113507138e-10,ARL4C,-1.726067,0.1496036244056814,CX3CR1,-3.2000902,0.003892562754725683,IRF8,-5.5750327,8.557052675405562e-08,CD40,-2.4331763,0.03509505251059943,LIPA,-3.2904127,0.002936441499939906,BCL11B,-2.1553175,0.07177339994071895,KLRG1,-1.1676353,0.44055640859017775,AQP9,-1.1966263,0.4817985511820797,CTSW,-4.2169657,8.489539133729482e-05,CD52,-4.121616,0.00013464875633716582,PRF1,-2.1806917,0.10545254659446954,CD3G,-1.2425004,0.6161889994148457
322,CCND2,-2.275281,0.0432349366757709,RPN2,-6.437454,4.3103943630265644e-10,POU2AF1,-1.7263602,0.1496036244056814,RNASE2,-3.2224545,0.003626274631313275,BCL2A1,-5.589386,7.946375385611917e-08,CD8B,-2.485766,0.030487495448894657,GAB2,-3.42065,0.0018469890669223295,LAG3,-2.1741612,0.06922716987187766,IGHD_membrane,-1.170387,0.4405038374070655,NCR3,-1.2194709,0.4664167233877688,FCGR3A,-4.3045344,5.835350759317094e-05,XBP1,-4.133482,0.00012901034998473814,TSPAN32,-2.1812742,0.10545254659446954,TLR8,-1.2723894,0.5922842813908457
323,IGLC3,-2.3409975,0.0368393345853317,CCR2,-6.668426,9.335677327624396e-11,KLRF1,-1.788405,0.13248444189495112,F13A1,-3.2363603,0.003478470719699681,CXCL16,-5.6483173,5.6988366661571455e-08,CD79A,-2.514229,0.02829738849444182,BCL6,-3.4764583,0.0015355404084924482,TARP_refseq,-2.2232015,0.06143965995413518,IGKC,-1.2109593,0.417066486015105,IGKC,-1.2600685,0.44124486461288187,PDIA6,-4.31023,5.736088473030753e-05,PDIA6,-4.140386,0.00012630568867847563,LILRB4,-2.199791,0.10226363166163357,TSPAN32,-1.2949437,0.5733711333522138
324,CTLA4,-2.3749762,0.03377562304014116,BAX,-6.6921883,8.009116790489454e-11,TXK,-1.8124938,0.12632586969080767,ENTPD1,-3.246778,0.00337741309448399,TLR2,-5.6518445,5.631645636711003e-08,KDELR1,-2.5179179,0.028166519411766504,CXCR5|CXCR5|AHS0039|pAbO,-3.5003839,0.0014145689185955557,ITGAE,-2.2304583,0.06065059284743088,CTLA4,-1.213327,0.417066486015105,IGHD_membrane,-1.2632842,0.4410823224174066,FTH1,-4.3340087,5.194667991808046e-05,KCNE3,-4.2792597,6.892477191733305e-05,CTSW,-2.212718,0.09983795223953543,BCL2A1,-1.3191482,0.5532230958936565
325,CD22,-2.3937008,0.032252012899901365,FAM65B,-6.9317546,1.5416942772825766e-11,GIMAP5,-1.8168508,0.1262910541842259,VPS28,-3.2542806,0.0033129597075548948,CCR1,-5.780583,2.664250115054697e-08,AQP9,-2.682416,0.01764600336785193,MGST1,-3.5609665,0.00114206641578769,RNASE2,-2.235374,0.06034346455716491,CXCR5,-1.2210064,0.4137448253515694,CBLB,-1.2640212,0.4410823224174066,TLR8,-4.353658,4.791649385165193e-05,TLR8,-4.306301,6.157358637313481e-05,GIMAP5,-2.2255285,0.09839518103201841,GZMA,-1.3426193,0.5342574997183355
326,IGKC,-2.4383433,0.028666388580590802,CD56:NCAM16.2|NCAM1|AHS0019|pAbO,-7.2071004,2.1394127012024314e-12,CCND2,-1.8556026,0.11724964978792182,CD48,-3.257291,0.003301601938732686,VPS28,-5.8621955,1.6790007727130347e-08,LTB,-2.6891954,0.01739452301258937,GIMAP2,-3.6257935,0.0008972124355717256,CD8B,-2.2427475,0.05979143912866717,CCND2,-1.2320774,0.4078506621163221,JUN,-1.2703854,0.4410823224174066,CX3CR1,-4.3631983,4.66921922177521e-05,TSPAN32,-4.3153625,5.964330293631838e-05,CXCL16,-2.2499847,0.09322956180851749,CD5,-1.3580222,0.5233699519088334
327,TNFRSF25,-2.4516816,0.02775773981848158,IER3,-7.216784,2.0109630036298647e-12,KLRG1,-1.9767176,0.08915460713501103,JUN,-3.3164034,0.002695878987227481,PDIA6,-5.951352,9.954314841538048e-09,JUNB,-2.7786722,0.013334896260368946,TNFSF8,-3.6512043,0.000825531116783645,GAPDH,-2.2587821,0.057692011104656125,ICOS,-1.2494837,0.3994777409226275,CXCR3,-1.274807,0.4410823224174066,RUNX3,-4.4595237,3.0467186329376683e-05,CST7,-4.4180613,3.797456817904818e-05,LAT,-2.253595,0.09322956180851749,PRF1,-1.373425,0.5126300655375111
328,CXCR5,-2.4829133,0.02556135682966409,DOCK8,-7.229657,1.846354927836069e-12,TNFRSF25,-1.9929305,0.08619989219688497,IL4R,-3.4149396,0.0018999144036592676,CD161:HP-3G10|KLRB1|AHS0205|pAbO,-6.069117,4.8587993776408345e-09,CD28:L293|CD28|AHS0138|pAbO,-2.7973652,0.01266305497642069,VNN2,-3.722397,0.0006339752824837281,CXCR3,-2.2826002,0.05453098051987802,TRAT1,-1.2747613,0.38407740340461133,ICOS,-1.3363063,0.39801748575607915,XBP1,-4.4597373,3.0467186329376683e-05,CCL5,-4.432301,3.5885796715693465e-05,VPS28,-2.2648916,0.09138941977716565,GIMAP5,-1.4016637,0.4973126176270995
329,KLRG1,-2.4985292,0.02458050205018342,CXCL16,-7.4752517,2.994190150716807e-13,CTLA4,-2.0056243,0.0840261895966109,IFITM2,-3.5494118,0.0011668587273133365,CD279:EH12-1|PDCD1|AHS0014|pAbO,-6.172872,2.6057797290056283e-09,ADGRE1,-2.8306139,0.01155803777020777,IGBP1,-3.7323174,0.0006143515758482808,FYN,-2.3039017,0.05186281978054498,PRDM1,-1.2770652,0.38407740340461133,ZNF683,-1.3728175,0.38127838850732565,CD36,-4.462158,3.0467186329376683e-05,CX3CR1,-4.448267,3.363705251560958e-05,ARL4C,-2.2971506,0.08477838973482335,CD134:ACT35|TNFRSF4|AHS0013|pAbO,-1.4038641,0.4973126176270995
330,TRAT1,-2.5064816,0.024151105093899117,IRF8,-7.5418324,1.8180070540860971e-13,CXCR5,-2.0183182,0.08189733124971492,GIMAP2,-3.55247,0.0011619854835300696,NKG7,-6.321891,1.0136514481654877e-09,CD272|BTLA|AHS0052|pAbO,-2.8515,0.010891716333075698,DOCK8,-3.8286557,0.0004205502481076631,NKG7,-2.3478508,0.046690252135571784,NCR3,-1.2824407,0.38250119204673283,MS4A1,-1.387422,0.37680313334670035,DUSP2,-4.57614,1.806007342591344e-05,IER3,-4.510332,2.5392602522974496e-05,LAP3,-2.3212576,0.08030447727434682,CD27,-1.4093652,0.4973126176270995
331,NCR3,-2.6078398,0.018134226199454873,BCL2A1,-7.54506,1.7907581273636657e-13,STAT4,-2.053509,0.07559946117288785,GAB2,-3.7798395,0.0004925169875930157,CD44,-6.333109,9.517479916715818e-10,CD27,-2.8735826,0.010221276289503773,QPCT,-3.9030848,0.00031249663232166784,LEF1,-2.4977808,0.031090957184744146,CD22,-1.3054785,0.3689897566038138,GZMK,-1.4969553,0.3098146913784368,DUSP1,-4.589738,1.7082235222624876e-05,FCGR3A,-4.5226297,2.4193195364386225e-05,DOCK8,-2.3228881,0.08030447727434682,KLRK1,-1.4144994,0.497239107965794
332,CD8:SK1|CD8A|AHS0228|pAbO,-2.6574345,0.01574758238572557,IgM|IGHM|AHS0198|pAbO,-7.6064296,1.127085923600346e-13,CD22,-2.0579915,0.07513071868449646,CXCL8,-3.7854784,0.00048521366899811756,IER3,-6.3552513,8.323452590346847e-10,IL1B,-2.9254744,0.008770252823297742,FYB,-3.9122622,0.0003032983570356947,ZAP70,-2.5286796,0.0286582351345736,IKZF1,-1.3658248,0.3373727322500385,IGHM_secreted,-1.621093,0.2484048147711652,CLEC4E,-4.6021967,1.6244539858988116e-05,ITGA4,-4.5990067,1.7148519961276464e-05,IL2RB,-2.337096,0.07850643804909943,CXCL16,-1.4170666,0.497239107965794
333,ICOS,-2.6781108,0.01495435175823344,LIPA,-7.6438427,8.516831622536001e-14,TRAT1,-2.1071749,0.06692424239859134,GNLY,-3.8805742,0.00033478543618906706,TLR8,-6.454401,4.388934161810168e-10,TREM1,-2.9634585,0.00780596575671693,STAT5A,-4.019688,0.00019649835056806422,TCF7,-2.5513856,0.02719041266144837,TRIB2,-1.3669127,0.3373727322500385,CD79A,-1.6637005,0.2321792938438495,JUNB,-4.6291795,1.4402314581176377e-05,CD6,-4.6483426,1.365221018879131e-05,KCNE3,-2.357127,0.07514115532660547,TLR2,-1.4222009,0.497239107965794
334,TRIB2,-2.6877263,0.014675834120866638,TLR2,-7.6593986,7.62166764256738e-14,NCR3,-2.1198688,0.0651595481616178,GAPDH,-3.9365802,0.00026977282224825385,SELPLG,-6.48203,3.729559653181642e-10,IGBP1,-2.9819021,0.007397284462844903,PDIA6,-4.04303,0.00017940056423679986,CCL4,-2.5684152,0.02605199534508593,STAT4,-1.3745921,0.33686461678674184,BCL11B,-1.687282,0.22233365603608715,LAT,-4.6475472,1.3305751639390208e-05,IFNGR1,-4.7147226,9.974986873710758e-06,CLEC4E,-2.4166374,0.06455719071101036,JUN,-1.4445717,0.48111037244815713
335,MS4A1,-2.699438,0.01424036651175049,CCR1,-7.6630154,7.484835249857213e-14,TRIB2,-2.1509957,0.060577470200233186,MGST1,-4.0320106,0.0001834398549953475,CX3CR1,-6.539394,2.571592232411085e-10,DOCK8,-3.0169454,0.006635479984839506,JUN,-4.043985,0.00017940056423679986,LAIR2,-2.5842743,0.025198939957392284,CCL4,-1.4032614,0.3210778238530916,IGHM_membrane,-1.7014174,0.2191719856263372,CCL5,-4.7940645,6.537421098353555e-06,CD27:M-T271|CD27|AHS0025|pAbO,-4.71501,9.974986873710758e-06,CST7,-2.43003,0.06285517146180372,CD247,-1.5280042,0.4129335632269317
336,IGHD_membrane,-2.7015345,0.014222364609356745,ITGA4,-7.7573643,3.6100746397841636e-14,IGHD_membrane,-2.1960316,0.05483534836037714,CXCR5|CXCR5|AHS0039|pAbO,-4.037219,0.00018088618901981255,FCGR3A,-6.564524,2.195596123817267e-10,STAT5A,-3.0441623,0.006141827874701961,LGALS1,-4.066319,0.0001651417447185639,EGR1,-2.6008942,0.024163244087640617,GIMAP5,-1.4232275,0.31086426775996234,TIGIT,-1.7233241,0.21233504841171855,CD163,-4.813002,6.006065681025879e-06,VPS28,-4.7608223,8.109775782657928e-06,RNASE6,-2.433291,0.06285517146180372,CD79B,-1.5402898,0.4063210503361821
337,ZNF683,-2.7595878,0.011986156067039318,IgD|IGHD|AHS0058|pAbO,-8.06849,2.9936743839036853e-15,ZNF683,-2.2813694,0.0448334259513449,BCL6,-4.066847,0.00016068286685224191,KCNE3,-6.60489,1.6907064784290233e-10,GNAI2,-3.0503933,0.006054876258061463,CCR2,-4.0714645,0.00016291562482884106,MGST1,-2.6133592,0.02344876102405705,GZMK,-1.4234195,0.31086426775996234,TRDC,-1.7963463,0.1858823850267102,CCL3,-4.8578544,4.890416478993849e-06,CD36,-4.826843,5.8953688584512795e-06,CD247,-2.446451,0.061314944070716186,CCL3,-1.5571597,0.39616663965055554
338,STAT4,-2.7952294,0.010851312980264934,PTPRC,-8.359042,2.687264827403058e-16,MS4A1,-2.303238,0.042530918307001175,LIPA,-4.114395,0.00013198676539967987,JUN,-6.6198797,1.5439193029892098e-10,F13A1,-3.0758655,0.005597132504923324,RPN2,-4.089979,0.00015173807949637704,CD36,-2.6320858,0.022629981782396447,ZNF683,-1.4437056,0.3020860478472008,LAG3,-1.8035815,0.1841085392159289,CD6,-4.8655434,4.752063011515064e-06,LCK,-4.8419456,5.521915955499352e-06,CD7,-2.4537878,0.06071056251671984,IFNGR1,-1.6050186,0.3628180243803173
339,PRDM1,-3.0099106,0.005524374187383134,NKG7,-8.647182,2.3157935489199307e-17,ICOS,-2.32297,0.04076115529071025,CCR2,-4.220625,8.568913918191394e-05,CD56:NCAM16.2|NCAM1|AHS0019|pAbO,-6.661421,1.1770916729329637e-10,LGALS9,-3.101338,0.00517108761732291,VPS28,-4.142127,0.00012208060701906806,TBX21,-2.6729333,0.020316566013933984,MS4A1,-1.4590641,0.2948767860577697,TARP_refseq,-1.9131818,0.1498534034197322,LCK,-4.977532,2.7087927167969077e-06,CD247,-4.848202,5.407530958513435e-06,IL4R,-2.4937332,0.05486624778208758,CD196|CCR6|AHS0034|pAbO,-1.6195047,0.3551917071547618
340,GZMK,-3.2012403,0.002938401091392902,SELL,-8.75246,9.257708173917833e-18,CD52,-2.4038668,0.03326056949968396,NAMPT,-4.2643023,7.114385120197865e-05,CXCR6|CXCR6|AHS0148|pAbO,-6.7365184,7.273471121377856e-11,RNASE2,-3.1882725,0.003945622969056899,S100A10,-4.1574583,0.00011517335909765386,CCR7,-2.6788437,0.020094500650143392,TIGIT,-1.5076996,0.27540950306255607,CCL4,-2.0101204,0.12245083040188338,LILRB4,-4.986004,2.6197389967695698e-06,FTH1,-4.853668,5.317095198993459e-06,TLR8,-2.5964499,0.041772393263329356,IL23R,-1.6198714,0.3551917071547618
341,IGHM_secreted,-3.3803885,0.001579275407314382,KCNE3,-8.887021,2.8142577340705305e-18,GZMK,-2.5018983,0.02558374799913975,SELPLG,-4.3110375,5.8154425701288645e-05,CD19:SJ25C1|CD19|AHS0030|pAbO,-6.779333,5.4731813710910426e-11,GIMAP2,-3.1915627,0.003927498613741472,ITGB2,-4.1670074,0.00011143259774711499,ARL4C,-2.856103,0.012067680805544566,CBLB,-1.6740842,0.199992376758051,CD8B,-2.0446217,0.1142739766003359,CD247,-5.0371213,2.0296309249909667e-06,SELL,-4.8831544,4.630002375143312e-06,ITGA4,-2.6322026,0.038889838640815654,KCNE3,-1.6250057,0.3551917071547618
342,IGHM_membrane,-3.3850515,0.001561036651319077,FCGR3A,-8.902733,2.4701263135846845e-18,IGKC,-2.5554805,0.022187098335806423,QPCT,-4.350366,4.907208851926113e-05,IFITM2,-6.8948445,2.47200607331454e-11,BCL6,-3.2505825,0.003218417272060194,IER3,-4.183559,0.00010454299029557615,QPCT,-2.9123414,0.010235101269942842,CD8:SK1|CD8A|AHS0228|pAbO,-1.6944983,0.19261582041015454,CCR7,-2.089306,0.10465395027134682,RPN2,-5.050648,1.911148869448201e-06,CLEC4E,-4.955288,3.238138034833178e-06,TRAC,-2.6336002,0.038889838640815654,CD8:SK1|CD8A|AHS0228|pAbO,-1.6374748,0.35132224368336185
343,PIK3IP1,-3.5431616,0.0008766688558040088,CD44,-8.923423,2.072522137213469e-18,IGHM_membrane,-2.5613458,0.021928431693506813,CD44,-4.64134,1.2723618162192263e-05,TNFSF10,-6.919926,2.095075732851489e-11,LIPA,-3.4505723,0.0016072880454748668,BAX,-4.4484363,3.23771016997102e-05,HLA-A,-3.1837604,0.004393563074511156,IGHM_secreted,-1.7048013,0.18946551149518528,ZAP70,-2.1760619,0.08611901268853352,CST7,-5.1123023,1.4113977290741089e-06,CCL3,-4.97672,2.9317461097130833e-06,CD36,-2.642917,0.03854671271465259,FOSB,-1.6466432,0.3504277492697033
344,TIGIT,-3.6853304,0.0005177205137813033,TLR8,-8.943179,1.7531535055977543e-18,IGHM_secreted,-2.6178606,0.018705210159675596,LAMP1,-4.6581607,1.1833742158129542e-05,RNASE6,-6.932859,1.9341069396128234e-11,CXCR5|CXCR5|AHS0039|pAbO,-3.542093,0.00115687047072872,CD63,-4.5542707,2.004447670511545e-05,KLRB1,-3.2669184,0.0033862446525316516,TARP_refseq,-1.708129,0.1891315517410353,LTB,-2.2389011,0.0738578444425472,NKG7,-5.2548327,6.642741992242787e-07,CD163,-4.988658,2.787243052657018e-06,IFNGR1,-2.6511855,0.03805300749625216,IFITM2,-1.6763487,0.3323245376439807
345,EGR1,-3.723683,0.0004551455885216743,JUNB,-9.045734,7.052844674950695e-19,RUNX3,-2.8209198,0.010282926706347959,BCL2A1,-5.0610514,1.5898698054480547e-06,CD196|CCR6|AHS0034|pAbO,-6.944616,1.8003803983853775e-11,ENTPD1,-3.566369,0.0010624483941231065,LAMP1,-4.6171346,1.4975705890892108e-05,IL7R,-3.2989292,0.003046014245984689,CXCR5|CXCR5|AHS0039|pAbO,-1.7647637,0.17022699713752076,LEF1,-2.2709906,0.06911712833267683,TNFSF13B,-5.3214703,4.7186794377414153e-07,NKG7,-5.0128226,2.486823872779134e-06,PIK3AP1,-2.6526995,0.03805300749625216,CX3CR1,-1.6891844,0.32634303699232764
346,TRDC,-3.8414886,0.00028511148245052734,CX3CR1,-9.075603,5.426433809095739e-19,FCGR3A,-2.8404841,0.009724023311560994,CCR1,-5.344857,3.584397729165915e-07,IFNGR1,-7.0178514,1.081467874204588e-11,IL4R,-3.5681636,0.0010624483941231065,IL23R,-4.6243496,1.4601575175475873e-05,GNLY,-3.3114526,0.0029354790738159746,IGHM_membrane,-1.7892735,0.1631352281304891,TBX21,-2.3001995,0.06478713161254632,IL2RB,-5.3446794,4.199488403793517e-07,DUSP2,-5.1017847,1.5962524056002322e-06,CX3CR1,-2.6820471,0.03554124646276472,GIMAP2,-1.7049541,0.3184674124033369
347,BCL11B,-3.8836367,0.00024269071715231789,IFNGR1,-9.114065,3.8542281458529157e-19,TIGIT,-2.8913434,0.008324911977209208,IFNGR1,-5.426716,2.2960171751465796e-07,BAX,-7.0677695,7.739409419076779e-12,CXCL8,-3.7020051,0.0006464600875486498,IL4R,-4.671882,1.1708512554401107e-05,CXCR4,-3.3342173,0.0027265820453041428,LAG3,-1.7913213,0.1631352281304891,TCF7,-2.3075018,0.06402209595772923,S100A12,-5.3549314,4.013823575049226e-07,LILRB4,-5.140189,1.3174180768918e-06,FCGR3A,-2.7268836,0.03142856294759797,FCGR3A,-1.7174231,0.3136607729235078
348,TARP_refseq,-3.9161696,0.00021465798220892293,LAP3,-9.565313,5.565824767934806e-21,ADA,-2.9046235,0.00802243622837723,IER3,-5.4413385,2.1362119496353843e-07,CCL3,-7.142622,4.5560322592358855e-12,GAB2,-3.8218396,0.0004063429963007116,BCL2A1,-4.93172,3.2286953551801612e-06,CD14,-3.3999944,0.002164880477911972,TRDC,-1.8891041,0.13198996098610005,VNN2,-2.3366437,0.06014204789752435,TNFSF13,-5.3567824,4.013823575049226e-07,IL2RB,-5.145439,1.2963508296233115e-06,YBX3,-2.7521553,0.02973133596431443,NKG7,-1.7218239,0.3136607729235078
349,CXCR3,-4.02483,0.00013764948252691659,RNASE6,-9.599615,4.041905343438893e-21,TRDC,-3.122681,0.003995544963919223,IRF8,-5.4922314,1.6192981170883362e-07,FTH1,-7.306141,1.3848014012620536e-12,MGST1,-3.8320584,0.00039277900321318216,NAMPT,-4.93607,3.188500213427152e-06,GZMH,-3.479056,0.0016293560719818697,BCL11B,-1.9505384,0.1165010440516801,LAIR2,-2.3367107,0.06014204789752435,SLC7A7,-5.4202166,2.857293900763051e-07,TRAC,-5.2123227,9.167253745763477e-07,PIK3IP1,-2.8415956,0.022893070784134772,LAT,-1.7456617,0.3027050927274127
350,LAG3,-4.0834613,0.00010905357589916798,CCL3,-9.761245,8.527537453274429e-22,BCL11B,-3.127373,0.003953923688204246,IL23R,-5.5681167,1.0612413649058807e-07,CD36,-7.3509154,1.003956836781752e-12,FYB,-3.8867915,0.0003163649589158042,CD25:2A3|IL2RA|AHS0026|pAbO,-5.005512,2.25061255180172e-06,GZMB,-3.496027,0.0015413945215914484,PIK3IP1,-1.9590496,0.11490347977935249,GNLY,-2.4629252,0.04392651574251039,CD33,-5.454959,2.379229563573224e-07,RPN2,-5.3412714,4.592331286092046e-07,TNFSF13B,-2.8481174,0.022713047741851337,CD2,-1.7707832,0.2920699185007892
351,ADA,-4.137285,8.743123286148289e-05,CD36,-9.830431,4.355229454486792e-22,TARP_refseq,-3.1293838,0.003948657462080328,CXCL16,-5.681945,5.544282316423516e-08,YBX3,-7.44306,5.080856975874582e-13,CD3G,-3.9926684,0.00020663747354621786,CXCL16,-5.012674,2.190096194649239e-06,RNASE6,-3.5859733,0.0011230812936928243,ZAP70,-1.9913666,0.10827293066457278,CD16:3G8|FCGR3A|AHS0053|pAbO,-2.5347414,0.03615147668578826,LGALS9,-5.5112023,1.7732613335903034e-07,CD3D,-5.3703265,3.9588212685508776e-07,CCL3,-2.8924882,0.019992182815202653,LGALS1,-1.7962713,0.27886947133893414
