"","superkingdom","phylum","class","order","family","genus","species"
"species:Escherichia coli","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli"
"species:Klebsiella michiganensis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis"
"species:Parabacteroides distasonis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis"
"species:Bifidobacterium longum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum"
"species:Bifidobacterium adolescentis","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis"
"species:Eubacterium sp. CAG:180","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:180"
"species:Klebsiella pneumoniae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae"
"species:Cutibacterium acnes","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes"
"species:Faecalibacterium prausnitzii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii"
"species:Prevotella copri","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella copri"
"species:Coprococcus eutactus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus eutactus"
"species:Firmicutes bacterium CAG:170","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:170"
"species:Enterococcus faecalis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis"
"species:Streptococcus salivarius","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius"
"species:Rothia mucilaginosa","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia mucilaginosa"
"species:Neisseria subflava","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria subflava"
"species:Clostridium sp. 7_2_43FAA","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. 7_2_43FAA"
"species:Alistipes putredinis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis"
"species:Phocaeicola vulgatus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus"
"species:Bacteroides caccae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae"
"species:Bacteroides thetaiotaomicron","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron"
"species:Coprobacter fastidiosus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter","Coprobacter fastidiosus"
"species:Parabacteroides merdae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae"
"species:Bacteroides uniformis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis"
"species:Barnesiella intestinihominis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis"
"species:Bacteroides fragilis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis"
"species:Odoribacter splanchnicus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus"
"species:Bacteroides ovatus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus"
"species:Lachnospira pectinoschiza","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira pectinoschiza"
"species:Butyricimonas virosa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas virosa"
"species:Phascolarctobacterium faecium","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium"
"species:Roseburia inulinivorans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia inulinivorans"
"species:Paraprevotella xylaniphila","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila"
"species:Roseburia intestinalis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia intestinalis"
"species:Alistipes shahii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii"
"species:Oscillibacter sp. 57_20","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter sp. 57_20"
"species:Bacteroides sp. CAG:144","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CAG:144"
"species:Streptococcus peroris","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus peroris"
"species:Roseburia hominis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia hominis"
"species:Collinsella aerofaciens","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens"
"species:Prevotella histicola","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella histicola"
"species:Actinomyces sp. ICM47","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. ICM47"
"species:Haemophilus parainfluenzae","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parainfluenzae"
"species:Prevotella melaninogenica","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella melaninogenica"
"species:Neisseria flavescens","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria flavescens"
"species:Veillonella atypica","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella atypica"
"species:Prevotella jejuni","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella jejuni"
"species:Prevotella pallens","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella pallens"
"species:Veillonella dispar","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella dispar"
"species:Prevotella sp. oral taxon 306","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. oral taxon 306"
"species:Megasphaera micronuciformis","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera micronuciformis"
"species:Prevotella salivae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella salivae"
"species:Actinomyces graevenitzii","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces graevenitzii"
"species:Veillonella infantium","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella infantium"
"species:Stomatobaculum longum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Stomatobaculum","Stomatobaculum longum"
"species:Neisseria sicca","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria sicca"
"species:Lachnospiraceae bacterium oral taxon 096","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae",NA,"Lachnospiraceae bacterium oral taxon 096"
"species:Neisseria perflava","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria perflava"
"species:Neisseria macacae","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria macacae"
"species:Campylobacter concisus","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter concisus"
"species:Streptococcus parasanguinis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus parasanguinis"
"species:Prevotella veroralis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella veroralis"
"species:Haemophilus haemolyticus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus haemolyticus"
"species:Prevotella nigrescens","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella nigrescens"
"species:Alloprevotella rava","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella rava"
"species:Streptococcus infantis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantis"
"species:Prevotella oris","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella oris"
"species:Streptococcus oralis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus oralis"
"species:Veillonella sp. T11011-6","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella sp. T11011-6"
"species:Veillonella tobetsuensis","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella tobetsuensis"
"species:Prevotella oulorum","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella oulorum"
"species:Lancefieldella parvula","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella parvula"
"species:Aggregatibacter sp. oral taxon 458","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter sp. oral taxon 458"
"species:Porphyromonas endodontalis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas endodontalis"
"species:Aggregatibacter segnis","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter segnis"
"species:Oribacterium parvum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Oribacterium","Oribacterium parvum"
"species:Gemella sanguinis","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella sanguinis"
"species:Schaalia odontolytica","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica"
"species:Alloprevotella tannerae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella tannerae"
"species:Leptotrichia wadei","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia wadei"
"species:Prevotella denticola","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella denticola"
"species:Veillonella parvula","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella parvula"
"species:Lautropia mirabilis","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia","Lautropia mirabilis"
"species:Oribacterium asaccharolyticum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Oribacterium","Oribacterium asaccharolyticum"
"species:Neisseria sp. oral taxon 014","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria sp. oral taxon 014"
"species:Morococcus cerebrosus","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Morococcus","Morococcus cerebrosus"
"species:Lachnoanaerobaculum saburreum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoanaerobaculum","Lachnoanaerobaculum saburreum"
"species:Actinomyces sp. HMSC035G02","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. HMSC035G02"
"species:Bacteroidetes oral taxon 274","Bacteria","Bacteroidota",NA,NA,NA,NA,"Bacteroidetes oral taxon 274"
"species:Corynebacterium matruchotii","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium matruchotii"
"species:Mogibacterium diversum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Mogibacterium","Mogibacterium diversum"
"species:Actinomyces sp. oral taxon 181","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 181"
"species:Oribacterium sinus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Oribacterium","Oribacterium sinus"
"species:Aggregatibacter aphrophilus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter aphrophilus"
"species:Actinomyces sp. S6-Spd3","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. S6-Spd3"
"species:Tannerella forsythia","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella","Tannerella forsythia"
"species:Lancefieldella rimae","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella rimae"
"species:Fusobacterium nucleatum","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium nucleatum"
"species:Fusobacterium periodonticum","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium periodonticum"
"species:[Eubacterium] sulci","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis",NA,"[Eubacterium] sulci"
"species:Campylobacter rectus","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter rectus"
"species:Neisseria mucosa","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria mucosa"
"species:Rothia aeria","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia aeria"
"species:Haemophilus quentini","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus quentini"
"species:Capnocytophaga ochracea","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga ochracea"
"species:Treponema denticola","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema denticola"
"species:Haemophilus sputorum","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus sputorum"
"species:Capnocytophaga leadbetteri","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga leadbetteri"
"species:Rothia dentocariosa","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia dentocariosa"
"species:Treponema lecithinolyticum","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema lecithinolyticum"
"species:Prevotella pleuritidis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella pleuritidis"
"species:Streptococcus sp. F0442","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. F0442"
"species:Streptococcus mitis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis"
"species:Fretibacterium fastidiosum","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Fretibacterium","Fretibacterium fastidiosum"
"species:Selenomonas flueggei","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas flueggei"
"species:Eikenella corrodens","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella","Eikenella corrodens"
"species:Tannerella serpentiformis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella","Tannerella serpentiformis"
"species:Leptotrichia sp. oral taxon 498","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia sp. oral taxon 498"
"species:Prevotella scopos","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella scopos"
"species:Campylobacter showae","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter showae"
"species:Scardovia wiggsiae","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Scardovia","Scardovia wiggsiae"
"species:Prevotella sp. F0091","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. F0091"
"species:Alloprevotella sp. oral taxon 473","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella sp. oral taxon 473"
"species:Dialister pneumosintes","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister pneumosintes"
"species:Leptotrichia sp. oral taxon 215","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia sp. oral taxon 215"
"species:Solobacterium moorei","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium","Solobacterium moorei"
"species:Kingella oralis","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella","Kingella oralis"
